IPN,description,machine_fit,product_url
4819601,1000mm fab insert set,1200,https://mcelroyparts.com/products/1000mm-fab-insert-set
4813111,1000mm insert set,1200,https://mcelroyparts.com/products/1000mm-insert-set
4813127,1100mm jaw insert set,1200,https://mcelroyparts.com/products/1100mm-jaw-insert-set
4819501,1200mm jaw insert set,1200,https://mcelroyparts.com/products/1200mm-jaw-insert-set
4821101,36dips fab insert set,1200,https://mcelroyparts.com/products/36dips-fab-insert-set
4813006,36ips master insert set w/pins,1200,https://mcelroyparts.com/products/36ips-master-insert-set-w-pins
4827501,42 od/1067mm fab insert set,1200,https://mcelroyparts.com/products/42-od-1067mm-fab-insert-set
4821201,42dips fab insert set,1200,https://mcelroyparts.com/products/42dips-fab-insert-set
4813104,42ips jaw insert set,1200,https://mcelroyparts.com/products/42ips-jaw-insert-set
2418201,450mm insert set,1200,https://mcelroyparts.com/products/450mm-insert-set
2412117,16dips insert set,1200/618/900,https://mcelroyparts.com/products/16dips-insert-set
2412110,16ips insert set,1200/618/900,https://mcelroyparts.com/products/16ips-insert-set
2412023,18dips insert set,1200/900,https://mcelroyparts.com/products/18dips-insert-set
2411922,20dips insert set,1200/900,https://mcelroyparts.com/products/20dips-insert-set
2412010,20ips insert set,1200/900,https://mcelroyparts.com/products/20ips-insert-set
2411919,22 od/560mm insert set,1200/900,https://mcelroyparts.com/products/22-od-560mm-insert-set
3606617,24dips insert set,1200/900,https://mcelroyparts.com/products/24dips-insert-set
2411604,24ips insert set,1200/900,https://mcelroyparts.com/products/24ips-insert-set
3606614,26ips insert set,1200/900,https://mcelroyparts.com/products/26ips-insert-set
3603418,28 od/710mm insert set,1200/900,https://mcelroyparts.com/products/28-od-710mm-insert-set
3603515,30 od insert set,1200/900,https://mcelroyparts.com/products/30-od-insert-set
3629701,30 od/762mm fab insert set,1200/900,https://mcelroyparts.com/products/30-od-762mm-fab-insert-set
3603512,32 od/30dips insert set,1200/900,https://mcelroyparts.com/products/32-od-30dips-insert-set
3629501,32 od/813mm fab insert set,1200/900,https://mcelroyparts.com/products/32-od-813mm-fab-insert-set
2412011,500mm insert set,1200/900,https://mcelroyparts.com/products/500mm-insert-set
3606604,630mm master insert set w/pins,1200/900,https://mcelroyparts.com/products/630mm-master-insert-set-w-pins
3629601,800mm fab insert set,1200/900,https://mcelroyparts.com/products/800mm-fab-insert-set
3603509,800mm insert set,1200/900,https://mcelroyparts.com/products/800mm-insert-set
227401,1.618 FITTING INSERT,618,https://mcelroyparts.com/products/1-618-fitting-insert
227402,1.618 FITTING INSERT SET,618,https://mcelroyparts.com/products/1-618-fitting-insert-set
1207221,10dips insert set,618,https://mcelroyparts.com/products/10dips-insert-set
1207204,10ips insert set,618,https://mcelroyparts.com/products/10ips-insert-set
1207011,160mm insert set,618,https://mcelroyparts.com/products/160mm-insert-set
1207009,200mm insert set,618,https://mcelroyparts.com/products/200mm-insert-set
1207010,225mm insert set,618,https://mcelroyparts.com/products/225mm-insert-set
1213503,250mm insert set,618,https://mcelroyparts.com/products/250mm-insert-set
1207205,280mm insert set,618,https://mcelroyparts.com/products/280mm-insert-set
1211202,315mm insert set,618,https://mcelroyparts.com/products/315mm-insert-set
1207020,6dips insert set,618,https://mcelroyparts.com/products/6dips-insert-set
1207007,6ips master insert set,618,https://mcelroyparts.com/products/6ips-master-insert-set
1207008,7-1/8 od/180mm insert set,618,https://mcelroyparts.com/products/7-1-8-od-180mm-insert-set
1207107,8dips insert set,618,https://mcelroyparts.com/products/8dips-insert-set
1207104,8ips insert set,618,https://mcelroyparts.com/products/8ips-insert-set
2411826,12dips insert set,618/900,https://mcelroyparts.com/products/12dips-insert-set
2411810,12ips master insert set w/pins,618/900,https://mcelroyparts.com/products/12ips-master-insert-set-w-pins
2412206,14 od/355mm insert set,618/900,https://mcelroyparts.com/products/14-od-355mm-insert-set
2412215,14dips insert set,618/900,https://mcelroyparts.com/products/14dips-insert-set
2411811,340mm insert set,618/900,https://mcelroyparts.com/products/340mm-insert-set
2412111,400mm insert set,618/900,https://mcelroyparts.com/products/400mm-insert-set
2411708,18ips master insert set w/pins,900,https://mcelroyparts.com/products/18ips-master-insert-set-w-pins
3603532,34 od insert set,900,https://mcelroyparts.com/products/34-od-insert-set
3606604 - Used,630MM MASTER INSERT SET W/PINS,900,https://mcelroyparts.com/products/630mm-master-insert-set-w-pins-1
MBH00003,#1-64NC THREAD INSERT,shared,https://mcelroyparts.com/products/1-64nc-thread-insert
207901,0.625 FITTING INSERT,shared,https://mcelroyparts.com/products/0-625-fitting-insert
207902,0.625 fitting insert set,shared,https://mcelroyparts.com/products/0-625-fitting-insert-set
207555,0.700 OD INSERT,shared,https://mcelroyparts.com/products/0-700-od-insert
207556,0.700 OD INSERT SET,shared,https://mcelroyparts.com/products/0-700-od-insert-set
208301,0.880 fitting insert,shared,https://mcelroyparts.com/products/0-880-fitting-insert
208302,0.880 fitting insert set,shared,https://mcelroyparts.com/products/0-880-fitting-insert-set
208003,0.989 FITTING INSERT,shared,https://mcelroyparts.com/products/0-989-fitting-insert
MJM00029,"1""-5 acme threaded insert",shared,https://mcelroyparts.com/products/1-5-acme-threaded-insert
207534,1-1/2cts insert,shared,https://mcelroyparts.com/products/1-1-2cts-insert
207533,1-1/2cts insert set,shared,https://mcelroyparts.com/products/1-1-2cts-insert-set
SW17301,1-1/2ips fitting insert set,shared,https://mcelroyparts.com/products/1-1-2ips-fitting-insert-set
207505,1-1/2ips insert,shared,https://mcelroyparts.com/products/1-1-2ips-insert
207515,1-1/2ips insert set,shared,https://mcelroyparts.com/products/1-1-2ips-insert-set
SW09901,1-1/2IPS J/C INSERT,shared,https://mcelroyparts.com/products/1-1-2ips-j-c-insert
SW09902,1-1/2ips j/c insert set,shared,https://mcelroyparts.com/products/1-1-2ips-j-c-insert-set
410209,1-1/2ips sdwl clamping insert,shared,https://mcelroyparts.com/products/1-1-2ips-sdwl-clamping-insert
410212,1-1/2ips sdwl clpg insert set,shared,https://mcelroyparts.com/products/1-1-2ips-sdwl-clpg-insert-set
UB000340,1-1/4 LAM&SES FTG LWR INSERT,shared,https://mcelroyparts.com/products/1-1-4-lam-ses-ftg-lwr-insert
UB000339,1-1/4 LAM&SES FTG UPR INSERT,shared,https://mcelroyparts.com/products/1-1-4-lam-ses-ftg-upr-insert
207509,1-1/4CTS INSERT,shared,https://mcelroyparts.com/products/1-1-4cts-insert
207519,1-1/4cts insert set,shared,https://mcelroyparts.com/products/1-1-4cts-insert-set
410016,1-1/4IPS DUPONT TT INSERT,shared,https://mcelroyparts.com/products/1-1-4ips-dupont-tt-insert
410017,1-1/4IPS DUPONT TT INSERT SET,shared,https://mcelroyparts.com/products/1-1-4ips-dupont-tt-insert-set
207504,1-1/4ips insert,shared,https://mcelroyparts.com/products/1-1-4ips-insert
207514,1-1/4ips insert set,shared,https://mcelroyparts.com/products/1-1-4ips-insert-set
SW09801,1-1/4ips j/c insert,shared,https://mcelroyparts.com/products/1-1-4ips-j-c-insert
SW09802,1-1/4ips j/c insert set,shared,https://mcelroyparts.com/products/1-1-4ips-j-c-insert-set
410208,1-1/4ips sdwl clamping insert,shared,https://mcelroyparts.com/products/1-1-4ips-sdwl-clamping-insert
410211,1-1/4ips sdwl clpg insert set,shared,https://mcelroyparts.com/products/1-1-4ips-sdwl-clpg-insert-set
UB000330,1-1/4IPSX1.888 STA JAW INSERT,shared,https://mcelroyparts.com/products/1-1-4ipsx1-888-sta-jaw-insert
MJM00001,1-8nc thread insert,shared,https://mcelroyparts.com/products/1-8nc-thread-insert
208001,1.055 FITTING INSERT,shared,https://mcelroyparts.com/products/1-055-fitting-insert
208002,1.055 fitting insert set,shared,https://mcelroyparts.com/products/1-055-fitting-insert-set
207540,1.060 OD INSERT,shared,https://mcelroyparts.com/products/1-060-od-insert
207541,1.060 OD INSERT SET,shared,https://mcelroyparts.com/products/1-060-od-insert-set
208401,1.130 FITTING INSERT,shared,https://mcelroyparts.com/products/1-130-fitting-insert
208402,1.130 fitting insert set,shared,https://mcelroyparts.com/products/1-130-fitting-insert-set
208006,1.250 fitting insert set,shared,https://mcelroyparts.com/products/1-250-fitting-insert-set
207510,1.25DIA INSERT,shared,https://mcelroyparts.com/products/1-25dia-insert
207520,1.25dia insert set,shared,https://mcelroyparts.com/products/1-25dia-insert-set
208101,1.320 fitting insert,shared,https://mcelroyparts.com/products/1-320-fitting-insert
208102,1.320 fitting insert set,shared,https://mcelroyparts.com/products/1-320-fitting-insert-set
207542,1.349 OD INSERT,shared,https://mcelroyparts.com/products/1-349-od-insert
207543,1.349 OD INSERT SET,shared,https://mcelroyparts.com/products/1-349-od-insert-set
207539,1.50DIA INSERT,shared,https://mcelroyparts.com/products/1-50dia-insert
207538,1.50DIA INSERT SET,shared,https://mcelroyparts.com/products/1-50dia-insert-set
214401,1.630 FITTING INSERT,shared,https://mcelroyparts.com/products/1-630-fitting-insert
212303,1.688 FITTING INSERT,shared,https://mcelroyparts.com/products/1-688-fitting-insert
212304,1.688 fitting insert set,shared,https://mcelroyparts.com/products/1-688-fitting-insert-set
212305,1.750 FITTING INSERT,shared,https://mcelroyparts.com/products/1-750-fitting-insert
212306,1.750 fitting insert set,shared,https://mcelroyparts.com/products/1-750-fitting-insert-set
207544,1.780 OD INSERT,shared,https://mcelroyparts.com/products/1-780-od-insert
207545,1.780 od insert set,shared,https://mcelroyparts.com/products/1-780-od-insert-set
SW12101,1.821 FITTING INSERT,shared,https://mcelroyparts.com/products/1-821-fitting-insert
SW12102,1.821 fitting insert set,shared,https://mcelroyparts.com/products/1-821-fitting-insert-set
212301,1.875 FITTING INSERT,shared,https://mcelroyparts.com/products/1-875-fitting-insert
212302,1.875 fitting insert set,shared,https://mcelroyparts.com/products/1-875-fitting-insert-set
213901,1.993 FITTING INSERT,shared,https://mcelroyparts.com/products/1-993-fitting-insert
213902,1.993 FITTING INSERT SET,shared,https://mcelroyparts.com/products/1-993-fitting-insert-set
MJQ00515,"1/2 sq carb cut insert, 1/32r",shared,https://mcelroyparts.com/products/1-2-sq-carb-cut-insert-1-32r
MJQ00572,"1/2 sq carb cut insert, 1/8 r",shared,https://mcelroyparts.com/products/1-2-sq-carb-cut-insert-1-8-r
207506,1/2cts insert,shared,https://mcelroyparts.com/products/1-2cts-insert-1
CTS07502,1/2CTS INSERT,shared,https://mcelroyparts.com/products/1-2cts-insert
207516,1/2cts insert set,shared,https://mcelroyparts.com/products/1-2cts-insert-set-1
CTS07501,1/2cts insert set,shared,https://mcelroyparts.com/products/1-2cts-insert-set
CTS15018,1/2cts ratchet fcr insert set,shared,https://mcelroyparts.com/products/1-2cts-ratchet-fcr-insert-set
207511,1/2ips insert,shared,https://mcelroyparts.com/products/1-2ips-insert-1
CTS07402,1/2IPS INSERT,shared,https://mcelroyparts.com/products/1-2ips-insert
207521,1/2ips insert set,shared,https://mcelroyparts.com/products/1-2ips-insert-set-1
CTS07401,1/2ips insert set,shared,https://mcelroyparts.com/products/1-2ips-insert-set
207558,1/2ips insert set (2 pieces),shared,https://mcelroyparts.com/products/1-2ips-insert-set-2-pieces
CTS15022,1/2ips ratchet fcr insert set,shared,https://mcelroyparts.com/products/1-2ips-ratchet-fcr-insert-set
24206104,10.20 ODX11-1/4 MIT INSERT SET,shared,https://mcelroyparts.com/products/10-20-odx11-1-4-mit-insert-set
24206102,10.20 ODX11-1/4 MIT LWR INSERT,shared,https://mcelroyparts.com/products/10-20-odx11-1-4-mit-lwr-insert
24206103,10.20 ODX11-1/4 MIT UPR INSERT,shared,https://mcelroyparts.com/products/10-20-odx11-1-4-mit-upr-insert
1214259,10.400 OD INSERT,shared,https://mcelroyparts.com/products/10-400-od-insert
