IPN,name,description,category,keywords,units,purchase_price
4819601,1000mm fab insert set,1000mm fab insert set,Jaw Inserts,1200,ea,25202.00
4813111,1000mm insert set,1000mm insert set,Jaw Inserts,1200,ea,25202.00
4813127,1100mm jaw insert set,1100mm jaw insert set,Jaw Inserts,1200,ea,25202.00
4819501,1200mm jaw insert set,1200mm jaw insert set,Jaw Inserts,1200,ea,25202.00
4821101,36dips fab insert set,36dips fab insert set,Jaw Inserts,1200,ea,25202.00
4813006,36ips master insert set w/pins,36ips master insert set w/pins,Jaw Inserts,1200,ea,24708.00
4827501,42 od/1067mm fab insert set,42 od/1067mm fab insert set,Jaw Inserts,1200,ea,25202.00
4821201,42dips fab insert set,42dips fab insert set,Jaw Inserts,1200,ea,25202.00
4813104,42ips jaw insert set,42ips jaw insert set,Jaw Inserts,1200,ea,25202.00
2418201,450mm insert set,450mm insert set,Jaw Inserts,1200,ea,7087.00
2412117,16dips insert set,16dips insert set,Jaw Inserts,1200/618/900,ea,4986.00
2412110,16ips insert set,16ips insert set,Jaw Inserts,1200/618/900,ea,4986.00
2412023,18dips insert set,18dips insert set,Jaw Inserts,1200/900,ea,8479.00
2411922,20dips insert set,20dips insert set,Jaw Inserts,1200/900,ea,8479.00
2412010,20ips insert set,20ips insert set,Jaw Inserts,1200/900,ea,8479.00
2411919,22 od/560mm insert set,22 od/560mm insert set,Jaw Inserts,1200/900,ea,8479.00
3606617,24dips insert set,24dips insert set,Jaw Inserts,1200/900,ea,18647.00
2411604,24ips insert set,24ips insert set,Jaw Inserts,1200/900,ea,8479.00
3606614,26ips insert set,26ips insert set,Jaw Inserts,1200/900,ea,18647.00
3603418,28 od/710mm insert set,28 od/710mm insert set,Jaw Inserts,1200/900,ea,18647.00
3603515,30 od insert set,30 od insert set,Jaw Inserts,1200/900,ea,18647.00
3629701,30 od/762mm fab insert set,30 od/762mm fab insert set,Jaw Inserts,1200/900,ea,18647.00
3603512,32 od/30dips insert set,32 od/30dips insert set,Jaw Inserts,1200/900,ea,18647.00
3629501,32 od/813mm fab insert set,32 od/813mm fab insert set,Jaw Inserts,1200/900,ea,18647.00
2412011,500mm insert set,500mm insert set,Jaw Inserts,1200/900,ea,8479.00
3606604,630mm master insert set w/pins,630mm master insert set w/pins,Jaw Inserts,1200/900,ea,17501.00
3629601,800mm fab insert set,800mm fab insert set,Jaw Inserts,1200/900,ea,18647.00
3603509,800mm insert set,800mm insert set,Jaw Inserts,1200/900,ea,18647.00
227401,1.618 FITTING INSERT,1.618 FITTING INSERT,Jaw Inserts,618,ea,55.78
227402,1.618 FITTING INSERT SET,1.618 FITTING INSERT SET,Jaw Inserts,618,ea,186.00
1207221,10dips insert set,10dips insert set,Jaw Inserts,618,ea,2058.00
1207204,10ips insert set,10ips insert set,Jaw Inserts,618,ea,2058.00
1207011,160mm insert set,160mm insert set,Jaw Inserts,618,ea,2193.00
1207009,200mm insert set,200mm insert set,Jaw Inserts,618,ea,2193.00
1207010,225mm insert set,225mm insert set,Jaw Inserts,618,ea,2193.00
1213503,250mm insert set,250mm insert set,Jaw Inserts,618,ea,2193.00
1207205,280mm insert set,280mm insert set,Jaw Inserts,618,ea,2058.00
1211202,315mm insert set,315mm insert set,Jaw Inserts,618,ea,2346.00
1207020,6dips insert set,6dips insert set,Jaw Inserts,618,ea,3122.00
1207007,6ips master insert set,6ips master insert set,Jaw Inserts,618,ea,3122.00
1207008,7-1/8 od/180mm insert set,7-1/8 od/180mm insert set,Jaw Inserts,618,ea,2193.00
1207107,8dips insert set,8dips insert set,Jaw Inserts,618,ea,2058.00
1207104,8ips insert set,8ips insert set,Jaw Inserts,618,ea,2058.00
2411826,12dips insert set,12dips insert set,Jaw Inserts,618/900,ea,4986.00
2411810,12ips master insert set w/pins,12ips master insert set w/pins,Jaw Inserts,618/900,ea,6035.00
2412206,14 od/355mm insert set,14 od/355mm insert set,Jaw Inserts,618/900,ea,4986.00
2412215,14dips insert set,14dips insert set,Jaw Inserts,618/900,ea,4986.00
2411811,340mm insert set,340mm insert set,Jaw Inserts,618/900,ea,4986.00
2412111,400mm insert set,400mm insert set,Jaw Inserts,618/900,ea,4986.00
2411708,18ips master insert set w/pins,18ips master insert set w/pins,Jaw Inserts,900,ea,9800.00
3603532,34 od insert set,34 od insert set,Jaw Inserts,900,ea,18647.00
3606604 - Used,630MM MASTER INSERT SET W/PINS,630MM MASTER INSERT SET W/PINS,Jaw Inserts,900,ea,9867.00
MBH00003,#1-64NC THREAD INSERT,#1-64NC THREAD INSERT,Jaw Inserts,shared,ea,5.97
207901,0.625 FITTING INSERT,0.625 FITTING INSERT,Jaw Inserts,shared,ea,88.11
207902,0.625 fitting insert set,0.625 fitting insert set,Jaw Inserts,shared,ea,204.00
207555,0.700 OD INSERT,0.700 OD INSERT,Jaw Inserts,shared,ea,76.13
207556,0.700 OD INSERT SET,0.700 OD INSERT SET,Jaw Inserts,shared,ea,108.00
208301,0.880 fitting insert,0.880 fitting insert,Jaw Inserts,shared,ea,106.00
208302,0.880 fitting insert set,0.880 fitting insert set,Jaw Inserts,shared,ea,204.00
208003,0.989 FITTING INSERT,0.989 FITTING INSERT,Jaw Inserts,shared,ea,82.50
MJM00029,"1""-5 acme threaded insert","1""-5 acme threaded insert",Jaw Inserts,shared,ea,227.00
207534,1-1/2cts insert,1-1/2cts insert,Jaw Inserts,shared,ea,67.83
207533,1-1/2cts insert set,1-1/2cts insert set,Jaw Inserts,shared,ea,245.00
SW17301,1-1/2ips fitting insert set,1-1/2ips fitting insert set,Jaw Inserts,shared,ea,368.00
207505,1-1/2ips insert,1-1/2ips insert,Jaw Inserts,shared,ea,50.46
207515,1-1/2ips insert set,1-1/2ips insert set,Jaw Inserts,shared,ea,175.00
SW09901,1-1/2IPS J/C INSERT,1-1/2IPS J/C INSERT,Jaw Inserts,shared,ea,48.38
SW09902,1-1/2ips j/c insert set,1-1/2ips j/c insert set,Jaw Inserts,shared,ea,354.00
410209,1-1/2ips sdwl clamping insert,1-1/2ips sdwl clamping insert,Jaw Inserts,shared,ea,77.97
410212,1-1/2ips sdwl clpg insert set,1-1/2ips sdwl clpg insert set,Jaw Inserts,shared,ea,140.00
UB000340,1-1/4 LAM&SES FTG LWR INSERT,1-1/4 LAM&SES FTG LWR INSERT,Jaw Inserts,shared,ea,893.00
UB000339,1-1/4 LAM&SES FTG UPR INSERT,1-1/4 LAM&SES FTG UPR INSERT,Jaw Inserts,shared,ea,893.00
207509,1-1/4CTS INSERT,1-1/4CTS INSERT,Jaw Inserts,shared,ea,38.62
207519,1-1/4cts insert set,1-1/4cts insert set,Jaw Inserts,shared,ea,175.00
410016,1-1/4IPS DUPONT TT INSERT,1-1/4IPS DUPONT TT INSERT,Jaw Inserts,shared,ea,120.00
410017,1-1/4IPS DUPONT TT INSERT SET,1-1/4IPS DUPONT TT INSERT SET,Jaw Inserts,shared,ea,360.00
207504,1-1/4ips insert,1-1/4ips insert,Jaw Inserts,shared,ea,50.46
207514,1-1/4ips insert set,1-1/4ips insert set,Jaw Inserts,shared,ea,175.00
SW09801,1-1/4ips j/c insert,1-1/4ips j/c insert,Jaw Inserts,shared,ea,77.99
SW09802,1-1/4ips j/c insert set,1-1/4ips j/c insert set,Jaw Inserts,shared,ea,354.00
410208,1-1/4ips sdwl clamping insert,1-1/4ips sdwl clamping insert,Jaw Inserts,shared,ea,77.97
410211,1-1/4ips sdwl clpg insert set,1-1/4ips sdwl clpg insert set,Jaw Inserts,shared,ea,140.00
UB000330,1-1/4IPSX1.888 STA JAW INSERT,1-1/4IPSX1.888 STA JAW INSERT,Jaw Inserts,shared,ea,866.00
MJM00001,1-8nc thread insert,1-8nc thread insert,Jaw Inserts,shared,ea,137.00
208001,1.055 FITTING INSERT,1.055 FITTING INSERT,Jaw Inserts,shared,ea,88.11
208002,1.055 fitting insert set,1.055 fitting insert set,Jaw Inserts,shared,ea,204.00
