IPN,name,description,category,keywords,units,purchase_price
4819601,1000mm fab insert set [4819601],1000mm fab insert set,Jaw Inserts,1200,ea,25202.00
4813111,1000mm insert set [4813111],1000mm insert set,Jaw Inserts,1200,ea,25202.00
4813127,1100mm jaw insert set [4813127],1100mm jaw insert set,Jaw Inserts,1200,ea,25202.00
4819501,1200mm jaw insert set [4819501],1200mm jaw insert set,Jaw Inserts,1200,ea,25202.00
4821101,36dips fab insert set [4821101],36dips fab insert set,Jaw Inserts,1200,ea,25202.00
4813006,36ips master insert set w/pins [4813006],36ips master insert set w/pins,Jaw Inserts,1200,ea,24708.00
4827501,42 od/1067mm fab insert set [4827501],42 od/1067mm fab insert set,Jaw Inserts,1200,ea,25202.00
4821201,42dips fab insert set [4821201],42dips fab insert set,Jaw Inserts,1200,ea,25202.00
4813104,42ips jaw insert set [4813104],42ips jaw insert set,Jaw Inserts,1200,ea,25202.00
2418201,450mm insert set [2418201],450mm insert set,Jaw Inserts,1200,ea,7087.00
2412117,16dips insert set [2412117],16dips insert set,Jaw Inserts,1200/618/900,ea,4986.00
2412110,16ips insert set [2412110],16ips insert set,Jaw Inserts,1200/618/900,ea,4986.00
2412023,18dips insert set [2412023],18dips insert set,Jaw Inserts,1200/900,ea,8479.00
2411922,20dips insert set [2411922],20dips insert set,Jaw Inserts,1200/900,ea,8479.00
2412010,20ips insert set [2412010],20ips insert set,Jaw Inserts,1200/900,ea,8479.00
2411919,22 od/560mm insert set [2411919],22 od/560mm insert set,Jaw Inserts,1200/900,ea,8479.00
3606617,24dips insert set [3606617],24dips insert set,Jaw Inserts,1200/900,ea,18647.00
2411604,24ips insert set [2411604],24ips insert set,Jaw Inserts,1200/900,ea,8479.00
3606614,26ips insert set [3606614],26ips insert set,Jaw Inserts,1200/900,ea,18647.00
3603418,28 od/710mm insert set [3603418],28 od/710mm insert set,Jaw Inserts,1200/900,ea,18647.00
3603515,30 od insert set [3603515],30 od insert set,Jaw Inserts,1200/900,ea,18647.00
3629701,30 od/762mm fab insert set [3629701],30 od/762mm fab insert set,Jaw Inserts,1200/900,ea,18647.00
3603512,32 od/30dips insert set [3603512],32 od/30dips insert set,Jaw Inserts,1200/900,ea,18647.00
3629501,32 od/813mm fab insert set [3629501],32 od/813mm fab insert set,Jaw Inserts,1200/900,ea,18647.00
2412011,500mm insert set [2412011],500mm insert set,Jaw Inserts,1200/900,ea,8479.00
3606604,630mm master insert set w/pins [3606604],630mm master insert set w/pins,Jaw Inserts,1200/900,ea,17501.00
3629601,800mm fab insert set [3629601],800mm fab insert set,Jaw Inserts,1200/900,ea,18647.00
